Posted,Title,Price,Deets,Address,URL
May 11,MODERN LUXURY AT LOCUST POINT CONDO - WHARTON UPENN CHOP RITTENHOUSE,$1775,"
                    1br -
                    705ft",2429 Locust St. Philadelphia PA 19103,https://philadelphia.craigslist.org/apa/d/philadelphia-modern-luxury-at-locust/6886551961.html
May 11,1655 Pratt,$1000,"
                    3br -
                ",philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-1655-pratt/6875937193.html
May 11,"2 Bed 1.5 Bath - Business center with equipment, Airbnb Friendly",$1513,"
                    2br -
                    1115ft",,https://philadelphia.craigslist.org/apa/d/westtown-2-bed-15-bath-business-center/6886551738.html
May 11,FREE RENT !!! New two bedroom apartment with washer and dryer.,$1395,"
                    2br -
                    1000ft",43 and Sansom,https://philadelphia.craigslist.org/apa/d/philadelphia-free-rent-new-two-bedroom/6884564412.html
May 11,FREE RENT !!! New two bedroom apartment with washer and dryer.,$1395,"
                    2br -
                    1000ft",43 and Sansom,https://philadelphia.craigslist.org/apa/d/philadelphia-free-rent-new-two-bedroom/6884564688.html
May 11,FREE RENT !!! New two bedroom apartment with washer and dryer.,$1395,"
                    2br -
                    1000ft",43 and Sansom,https://philadelphia.craigslist.org/apa/d/philadelphia-free-rent-new-two-bedroom/6884564864.html
May 11,1 Bedroom w/ Den Space near UPENN,$2100,"
                    1br -
                ",,https://philadelphia.craigslist.org/apa/d/philadelphia-1-bedroom-den-space-near/6886550186.html
May 11,Great Location Crescentville Three bedroom,$800,N/A,Crescentville,https://philadelphia.craigslist.org/apa/d/philadelphia-great-location/6886549804.html
May 11,"1 Bed 1 Bath - Convenient On-Site Parking, Package Receiving",$993,"
                    1br -
                    760ft",Elkins Park,https://philadelphia.craigslist.org/apa/d/elkins-park-1-bed-1-bath-convenient-on/6882642584.html
May 11,"Large Three plus bedroom, two bathroom",$700,N/A,Castor Garden,https://philadelphia.craigslist.org/apa/d/philadelphia-large-three-plus-bedroom/6886548978.html
May 11,"Six room Twin Home Bustleton, garage parking",$700,N/A,Bustleton,https://philadelphia.craigslist.org/apa/d/philadelphia-six-room-twin-home/6886548050.html
May 11,"DREXEL SUMMER LISTING! 4 bed 2 bath, W/D, C/A & MORE!!!",$1800,"
                    4br -
                ",619 N 34th St>DrexelU>UPenn>Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-drexel-summer-listing-4/6886542436.html
May 11,"♥ Apartments available in West Chester, Oversized Closets, Dishwasher",$1650,"
                    1br -
                    836ft",,https://philadelphia.craigslist.org/apa/d/west-chester-apartments-available-in/6886510481.html
May 11,"Oxford Circle Three bedroom, garage parking",$700,N/A,Oxford Circle,https://philadelphia.craigslist.org/apa/d/philadelphia-oxford-circle-three/6886546828.html
May 11,"Available Now, Walk to the Train to Philadelphia, Walk In Closet",$1175,"
                    1br -
                    650ft","Lansdale, North Wales, Hatfield",https://philadelphia.craigslist.org/apa/d/colmar-available-now-walk-to-the-train/6886540367.html
May 11,OPEN HOUSE Saturday at Ridley Brook Apartments!,$1105,"
                    1br -
                    650ft",Folsom,https://philadelphia.craigslist.org/apa/d/folsom-open-house-saturday-at-ridley/6886539655.html
May 11,Great apartment in the Village,$900,"
                    2br -
                ",Marshallton,https://philadelphia.craigslist.org/apa/d/malvern-great-apartment-in-the-village/6886484260.html
May 11,"☀ West Chester Apartment Homes, 9' Ceilings w/ Crown Molding, Garages",$1700,"
                    2br -
                    926ft",,https://philadelphia.craigslist.org/apa/d/west-chester-west-chester-apartment/6886506207.html
May 11,2 Bed 1 Bath- Join us on MAY 18th from 11-3 at our OPEN HOUSE!!!,$1375,"
                    2br -
                    1003ft",,https://philadelphia.craigslist.org/apa/d/cheyney-2-bed-1-bath-join-us-on-may/6886539321.html
May 11,"Seven room, hardwood flooring, basement",$1000,"
                    2br -
                ",Yardley,https://philadelphia.craigslist.org/apa/d/morrisville-seven-room-hardwood/6886471246.html
May 11,"Single home, 3 bedroom, garage",$1350,"
                    3br -
                ",Bensalem,https://philadelphia.craigslist.org/apa/d/philadelphia-single-home-3-bedroom/6886464850.html
May 11,✿Let Us Pointe the Way Home! 1 Bedroom - kitchen with Granite! Gym!,$1420,"
                    1br -
                    865ft",Royersford,https://philadelphia.craigslist.org/apa/d/let-us-pointe-the-way-home-1-bedroom/6886535924.html
May 11,"Off-Street Parking, Renovated Apt, Controlled Access",$1450,"
                    2br -
                ",5000 Woodbine Avenue,https://philadelphia.craigslist.org/apa/d/bala-cynwyd-off-street-parking/6866830463.html
May 11,Amazing location! Just steps from Rittenhouse Square,$4300,"
                    3br -
                    1684ft",Rittenhouse Square Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-amazing-location-just/6886535695.html
May 11,"Spacious 1 BR, Pool and Fitness Center, GREAT LOCATION!",$1195,"
                    1br -
                ",Roxborough,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-1-br-pool-and/6886535572.html
